gene_short_name,term,q_value,estimate,std_err
Rrs1,genotypePantr2_KO,2.8078999043667202e-66,-0.291397220346579,0.016379781963639199
3110035E14Rik,genotypePantr2_KO,7.1369204011074902e-110,1.5120010625707101,0.066300824382423795
Snhg6,genotypePantr2_KO,0,-0.821794916357518,0.0150685795358506
Prex2,genotypePantr2_KO,5.9722753885766306e-39,1.68070380835953,0.12197357289093801
Mcm3,genotypePantr2_KO,6.2897693272415202e-54,-0.39747922339846797,0.024690654826511501
Sdhaf4,genotypePantr2_KO,2.05635906444163e-15,0.16558737327599499,0.018324844069382801
Cox5b,genotypePantr2_KO,4.1403969840372502e-35,0.084043754031077805,0.0064056025287494598
Tex30,genotypePantr2_KO,1.07243685691613e-15,-0.224841546273159,0.0246876620213713
Wdr75,genotypePantr2_KO,2.1810216410122299e-11,-0.195780949217846,0.024612540812193599
Myo1b,genotypePantr2_KO,3.09431472912078e-43,-0.60549352907981502,0.041816367601295402
Hspd1,genotypePantr2_KO,3.6803327343995402e-152,-0.197867189158622,0.0073778740429640399
Bzw1,genotypePantr2_KO,4.6833800679495398e-62,-0.16530937782859101,0.0095943395921166304
Nop58,genotypePantr2_KO,9.0065987713746097e-24,-0.15818212928005501,0.014442226512978801
Rpe,genotypePantr2_KO,2.3951993310102401e-168,-0.81909661490920804,0.029033408269724802
Acadl,genotypePantr2_KO,3.83009858496355e-66,-0.24445561156232901,0.013754767130735901
Atic,genotypePantr2_KO,4.7589166699206501e-16,-0.21038400833464899,0.022878713228059001
Rpl37a,genotypePantr2_KO,4.0978553158704797e-51,0.060594564535432903,0.003862438998751
Igfbp2,genotypePantr2_KO,8.2147393981211102e-23,0.13453225521840501,0.0125151443801829
Plcd4,genotypePantr2_KO,6.3602490829778002e-32,0.460715387278119,0.036715831061318899
Abcb6,genotypePantr2_KO,2.0820088944696802e-12,-0.27386531532637398,0.033228795438471501
Tuba4a,genotypePantr2_KO,3.6620848283846899e-13,0.84834153910230903,0.100416715454966
Wdfy1,genotypePantr2_KO,0,-1.8240540225205899,0.041902398662950098
Ncl,genotypePantr2_KO,1.2744306800911301e-103,-0.20208874893307099,0.00912229643327051
Ptma,genotypePantr2_KO,1.1360234846185701e-102,-0.197102125280299,0.0089378215860777092
Efhd1,genotypePantr2_KO,2.3557785327556999e-20,0.39586648946827302,0.038766122805848902
Hjurp,genotypePantr2_KO,2.6211765017234698e-75,-0.54339053520039204,0.028698943063236299
Ramp1,genotypePantr2_KO,1.39494624645989e-22,0.22650557811918001,0.0211680829907251
Hes6,genotypePantr2_KO,5.2187030535855203e-14,0.165796203341875,0.019114461209794001
Myeov2,genotypePantr2_KO,5.4138783371460502e-83,0.15886705092452499,0.0080002929399829101
Dbi,genotypePantr2_KO,8.0511831107662195e-67,0.12316604789014,0.0068958876037197199
Actr3,genotypePantr2_KO,1.6580450621032099e-18,-0.111528665762055,0.0113941041438164
Mcm6,genotypePantr2_KO,6.8150034121146506e-33,-0.30822524245961003,0.024222019040617899
Uchl5,genotypePantr2_KO,1.1525678069373e-20,-0.22206461587746801,0.021599267268759399
Ivns1abp,genotypePantr2_KO,9.3939930035514801e-19,-0.178666271257509,0.018146358349621701
Glul,genotypePantr2_KO,2.24525843945731e-12,-0.14322961582280899,0.017397632999321299
Cacybp,genotypePantr2_KO,4.4836327914337298e-37,-0.13533283758234599,0.010053380805833
Atp1b1,genotypePantr2_KO,5.26086631978646e-22,0.19427084503356701,0.018369017676241901
Mpc2,genotypePantr2_KO,3.6210860753313399e-11,0.099548875014887503,0.012615178079124101
Atp1a2,genotypePantr2_KO,1.51604283110958e-15,0.180309237117798,0.0198805623014408
Kcnj10,genotypePantr2_KO,8.3711152825287895e-19,0.50335577591207903,0.051063263248417499
Tagln2,genotypePantr2_KO,2.6030674164950998e-60,-0.300823257518753,0.0177026304406648
Cox20,genotypePantr2_KO,7.1398335836389202e-33,0.173872993711742,0.013667826135211499
Hnrnpu,genotypePantr2_KO,1.8907734753360199e-44,-0.151384359830043,0.0103176695955713
Parp1,genotypePantr2_KO,1.6780455726866799e-24,-0.21616529449764599,0.019466075941426901
Lbr,genotypePantr2_KO,1.5298777186159101e-19,-0.33615510886571998,0.033522903712505298
Eprs,genotypePantr2_KO,1.48369836141411e-21,-0.13883492609069001,0.0132503058072124
Hspa14,genotypePantr2_KO,9.4470684386673396e-13,-0.16008830877045299,0.019203697130480799
Slc39a12,genotypePantr2_KO,2.26366198233586e-15,0.82733334216079502,0.091664571046465207
Commd3,genotypePantr2_KO,4.5373955679984301e-28,0.13444019732870999,0.011373797262256799
Tubb4b,genotypePantr2_KO,2.4048462468483298e-16,-0.17864118493063899,0.0192728148438891
Ptgds,genotypePantr2_KO,1.46101940605503e-17,0.24221197382499199,0.0253236128409942
Edf1,genotypePantr2_KO,1.5053842254560301e-14,0.069792227765176407,0.0079175320280896692
Olfm1,genotypePantr2_KO,3.3623731234576202e-16,0.28452041093270197,0.030815448747041799
Set,genotypePantr2_KO,3.5629723747596e-81,-0.162684446361816,0.00828208267757863
1110008P14Rik,genotypePantr2_KO,9.1826508767900698e-18,0.181576679197927,0.018889053237615701
Ak1,genotypePantr2_KO,3.5366176968777398e-31,0.25027961967190898,0.020166527296264902
Hspa5,genotypePantr2_KO,8.51910618766377e-26,-0.14364510351136101,0.012634427178660101
Rpl35,genotypePantr2_KO,5.4487538411180701e-82,0.128081060377638,0.0064885597253220104
Lrp1b,genotypePantr2_KO,4.2082854288311797e-12,0.23696717927630301,0.029051659417096899
Stk39,genotypePantr2_KO,2.47171132208145e-17,-0.25063064765938498,0.0263547421743669
Ssb,genotypePantr2_KO,1.13179666802399e-23,-0.099691873167755393,0.0091193393888137006
Hat1,genotypePantr2_KO,1.6227629385264801e-33,-0.23523280712144201,0.018324099036622798
Cdca7,genotypePantr2_KO,2.9197704103952801e-15,-0.250042877336419,0.027789899566471599
Atp5g3,genotypePantr2_KO,1.1788218235005301e-28,0.099641551686565105,0.0083497057389585808
Hnrnpa3,genotypePantr2_KO,4.7401548519751899e-13,-0.064370719727142797,0.0076469123887765496
2700094K13Rik,genotypePantr2_KO,2.3199799031805599e-22,-0.1423119860041,0.013359059577497299
Ssrp1,genotypePantr2_KO,9.0794026152493101e-51,-0.20051388611397999,0.012822980989739699
Dgkz,genotypePantr2_KO,1.98452967165115e-16,-0.1985248590316,0.021370580716171299
Trp53i11,genotypePantr2_KO,1.19838129613395e-43,-0.51187619269610196,0.0351915188758734
Fjx1,genotypePantr2_KO,2.57553667296856e-11,-0.16241874104308601,0.0204718209541941
Ccdc34,genotypePantr2_KO,1.8487667108843299e-20,-0.197550077511807,0.019300936538719501
Nop10,genotypePantr2_KO,2.00648421322245e-19,-0.082137060542026505,0.0082131652152536098
Srp14,genotypePantr2_KO,1.2019070111224699e-14,0.083975557495772901,0.0094992815450137408
Knstrn,genotypePantr2_KO,1.5924224229055401e-11,-0.29764890704925301,0.037236014800606301
Serf2,genotypePantr2_KO,5.0594713663829797e-30,0.072083944377553402,0.00591123375413476
B2m,genotypePantr2_KO,1.0908477947826299e-25,0.17225647779688599,0.0151799721945897
Dut,genotypePantr2_KO,2.10782695928943e-14,-0.16112139159557201,0.018357370459063899
